review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV_MOCK_ORDER_15,MOCK_ORDER_15,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.103810,2026-04-27 23:13:45.103810
REV_MOCK_ORDER_16,MOCK_ORDER_16,3,,,2026-04-27 23:13:45.103811,2026-04-27 23:13:45.103812
REV_MOCK_ORDER_17,MOCK_ORDER_17,3,,,2026-04-27 23:13:45.103812,2026-04-27 23:13:45.103813
REV_MOCK_ORDER_18,MOCK_ORDER_18,2,pessimo,pessimo,2026-04-27 23:13:45.103814,2026-04-27 23:13:45.103814
REV_MOCK_ORDER_19,MOCK_ORDER_19,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103815,2026-04-27 23:13:45.103816
REV_MOCK_ORDER_20,MOCK_ORDER_20,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.103817,2026-04-27 23:13:45.103817
REV_MOCK_ORDER_21,MOCK_ORDER_21,5,otimo,otimo,2026-04-27 23:13:45.103818,2026-04-27 23:13:45.103818
REV_MOCK_ORDER_22,MOCK_ORDER_22,5,recomendo,recomendo,2026-04-27 23:13:45.103820,2026-04-27 23:13:45.103820
REV_MOCK_ORDER_23,MOCK_ORDER_23,2,produto com defeito,produto com defeito,2026-04-27 23:13:45.103821,2026-04-27 23:13:45.103821
REV_MOCK_ORDER_24,MOCK_ORDER_24,4,recomendo,recomendo,2026-04-27 23:13:45.103822,2026-04-27 23:13:45.103823
REV_MOCK_ORDER_25,MOCK_ORDER_25,5,recomendo,recomendo,2026-04-27 23:13:45.103824,2026-04-27 23:13:45.103824
REV_MOCK_ORDER_26,MOCK_ORDER_26,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103825,2026-04-27 23:13:45.103825
REV_MOCK_ORDER_27,MOCK_ORDER_27,3,,,2026-04-27 23:13:45.103826,2026-04-27 23:13:45.103827
REV_MOCK_ORDER_28,MOCK_ORDER_28,3,,,2026-04-27 23:13:45.103828,2026-04-27 23:13:45.103828
REV_MOCK_ORDER_29,MOCK_ORDER_29,5,excelente produto,excelente produto,2026-04-27 23:13:45.103829,2026-04-27 23:13:45.103829
REV_MOCK_ORDER_30,MOCK_ORDER_30,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.103831,2026-04-27 23:13:45.103831
REV_MOCK_ORDER_31,MOCK_ORDER_31,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.103832,2026-04-27 23:13:45.103833
REV_MOCK_ORDER_32,MOCK_ORDER_32,3,,,2026-04-27 23:13:45.103834,2026-04-27 23:13:45.103834
REV_MOCK_ORDER_33,MOCK_ORDER_33,5,otimo,otimo,2026-04-27 23:13:45.103835,2026-04-27 23:13:45.103835
REV_MOCK_ORDER_34,MOCK_ORDER_34,1,nao recebi,nao recebi,2026-04-27 23:13:45.103836,2026-04-27 23:13:45.103837
REV_MOCK_ORDER_35,MOCK_ORDER_35,3,,,2026-04-27 23:13:45.103837,2026-04-27 23:13:45.103838
REV_MOCK_ORDER_36,MOCK_ORDER_36,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103839,2026-04-27 23:13:45.103839
REV_MOCK_ORDER_37,MOCK_ORDER_37,2,pessimo,pessimo,2026-04-27 23:13:45.103840,2026-04-27 23:13:45.103841
REV_MOCK_ORDER_38,MOCK_ORDER_38,3,,,2026-04-27 23:13:45.103841,2026-04-27 23:13:45.103842
REV_MOCK_ORDER_39,MOCK_ORDER_39,3,,,2026-04-27 23:13:45.103842,2026-04-27 23:13:45.103843
REV_MOCK_ORDER_40,MOCK_ORDER_40,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103844,2026-04-27 23:13:45.103844
REV_MOCK_ORDER_41,MOCK_ORDER_41,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.103845,2026-04-27 23:13:45.103846
REV_MOCK_ORDER_42,MOCK_ORDER_42,4,otimo,otimo,2026-04-27 23:13:45.103847,2026-04-27 23:13:45.103847
REV_MOCK_ORDER_43,MOCK_ORDER_43,4,excelente produto,excelente produto,2026-04-27 23:13:45.103848,2026-04-27 23:13:45.103849
REV_MOCK_ORDER_44,MOCK_ORDER_44,2,nao recebi,nao recebi,2026-04-27 23:13:45.103850,2026-04-27 23:13:45.103850
REV_MOCK_ORDER_45,MOCK_ORDER_45,3,,,2026-04-27 23:13:45.103851,2026-04-27 23:13:45.103851
REV_MOCK_ORDER_46,MOCK_ORDER_46,1,produto com defeito,produto com defeito,2026-04-27 23:13:45.103852,2026-04-27 23:13:45.103853
REV_MOCK_ORDER_47,MOCK_ORDER_47,5,excelente produto,excelente produto,2026-04-27 23:13:45.103854,2026-04-27 23:13:45.103854
REV_MOCK_ORDER_48,MOCK_ORDER_48,3,,,2026-04-27 23:13:45.103855,2026-04-27 23:13:45.103855
REV_MOCK_ORDER_49,MOCK_ORDER_49,3,,,2026-04-27 23:13:45.103856,2026-04-27 23:13:45.103856
REV_MOCK_ORDER_50,MOCK_ORDER_50,3,,,2026-04-27 23:13:45.103857,2026-04-27 23:13:45.103857
REV_MOCK_ORDER_51,MOCK_ORDER_51,1,produto com defeito,produto com defeito,2026-04-27 23:13:45.103858,2026-04-27 23:13:45.103859
REV_MOCK_ORDER_52,MOCK_ORDER_52,2,produto com defeito,produto com defeito,2026-04-27 23:13:45.103860,2026-04-27 23:13:45.103860
REV_MOCK_ORDER_53,MOCK_ORDER_53,5,excelente produto,excelente produto,2026-04-27 23:13:45.103861,2026-04-27 23:13:45.103861
REV_MOCK_ORDER_54,MOCK_ORDER_54,1,pessimo,pessimo,2026-04-27 23:13:45.103863,2026-04-27 23:13:45.103863
REV_MOCK_ORDER_55,MOCK_ORDER_55,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103864,2026-04-27 23:13:45.103864
REV_MOCK_ORDER_56,MOCK_ORDER_56,5,otimo,otimo,2026-04-27 23:13:45.103865,2026-04-27 23:13:45.103866
REV_MOCK_ORDER_57,MOCK_ORDER_57,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.103888,2026-04-27 23:13:45.103888
REV_MOCK_ORDER_58,MOCK_ORDER_58,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.103891,2026-04-27 23:13:45.103891
REV_MOCK_ORDER_59,MOCK_ORDER_59,3,,,2026-04-27 23:13:45.103892,2026-04-27 23:13:45.103892
REV_MOCK_ORDER_60,MOCK_ORDER_60,5,otimo,otimo,2026-04-27 23:13:45.103893,2026-04-27 23:13:45.103894
REV_MOCK_ORDER_61,MOCK_ORDER_61,2,produto com defeito,produto com defeito,2026-04-27 23:13:45.103895,2026-04-27 23:13:45.103895
REV_MOCK_ORDER_62,MOCK_ORDER_62,1,produto com defeito,produto com defeito,2026-04-27 23:13:45.103897,2026-04-27 23:13:45.103897
REV_MOCK_ORDER_63,MOCK_ORDER_63,4,excelente produto,excelente produto,2026-04-27 23:13:45.103898,2026-04-27 23:13:45.103898
REV_MOCK_ORDER_64,MOCK_ORDER_64,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103900,2026-04-27 23:13:45.103900
REV_MOCK_ORDER_65,MOCK_ORDER_65,3,,,2026-04-27 23:13:45.103901,2026-04-27 23:13:45.103901
REV_MOCK_ORDER_66,MOCK_ORDER_66,4,recomendo,recomendo,2026-04-27 23:13:45.103902,2026-04-27 23:13:45.103903
REV_MOCK_ORDER_67,MOCK_ORDER_67,2,produto com defeito,produto com defeito,2026-04-27 23:13:45.103904,2026-04-27 23:13:45.103904
REV_MOCK_ORDER_68,MOCK_ORDER_68,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103906,2026-04-27 23:13:45.103906
REV_MOCK_ORDER_69,MOCK_ORDER_69,5,recomendo,recomendo,2026-04-27 23:13:45.103907,2026-04-27 23:13:45.103907
REV_MOCK_ORDER_70,MOCK_ORDER_70,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103909,2026-04-27 23:13:45.103909
REV_MOCK_ORDER_71,MOCK_ORDER_71,2,pessimo,pessimo,2026-04-27 23:13:45.103910,2026-04-27 23:13:45.103910
REV_MOCK_ORDER_72,MOCK_ORDER_72,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103912,2026-04-27 23:13:45.103912
REV_MOCK_ORDER_73,MOCK_ORDER_73,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.103913,2026-04-27 23:13:45.103913
REV_MOCK_ORDER_74,MOCK_ORDER_74,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.103914,2026-04-27 23:13:45.103915
REV_MOCK_ORDER_75,MOCK_ORDER_75,2,nao recebi,nao recebi,2026-04-27 23:13:45.103916,2026-04-27 23:13:45.103916
REV_MOCK_ORDER_76,MOCK_ORDER_76,1,nao recebi,nao recebi,2026-04-27 23:13:45.103917,2026-04-27 23:13:45.103918
REV_MOCK_ORDER_77,MOCK_ORDER_77,3,,,2026-04-27 23:13:45.103919,2026-04-27 23:13:45.103919
REV_MOCK_ORDER_78,MOCK_ORDER_78,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103920,2026-04-27 23:13:45.103921
REV_MOCK_ORDER_79,MOCK_ORDER_79,5,recomendo,recomendo,2026-04-27 23:13:45.103922,2026-04-27 23:13:45.103922
REV_MOCK_ORDER_80,MOCK_ORDER_80,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103924,2026-04-27 23:13:45.103924
REV_MOCK_ORDER_81,MOCK_ORDER_81,5,recomendo,recomendo,2026-04-27 23:13:45.103925,2026-04-27 23:13:45.103926
REV_MOCK_ORDER_82,MOCK_ORDER_82,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.103927,2026-04-27 23:13:45.103927
REV_MOCK_ORDER_83,MOCK_ORDER_83,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103929,2026-04-27 23:13:45.103929
REV_MOCK_ORDER_84,MOCK_ORDER_84,1,pessimo,pessimo,2026-04-27 23:13:45.103930,2026-04-27 23:13:45.103931
REV_MOCK_ORDER_85,MOCK_ORDER_85,4,excelente produto,excelente produto,2026-04-27 23:13:45.103932,2026-04-27 23:13:45.103932
REV_MOCK_ORDER_86,MOCK_ORDER_86,3,,,2026-04-27 23:13:45.103933,2026-04-27 23:13:45.103934
REV_MOCK_ORDER_87,MOCK_ORDER_87,4,recomendo,recomendo,2026-04-27 23:13:45.103935,2026-04-27 23:13:45.103935
REV_MOCK_ORDER_88,MOCK_ORDER_88,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103936,2026-04-27 23:13:45.103937
REV_MOCK_ORDER_89,MOCK_ORDER_89,1,produto com defeito,produto com defeito,2026-04-27 23:13:45.103938,2026-04-27 23:13:45.103938
REV_MOCK_ORDER_90,MOCK_ORDER_90,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103939,2026-04-27 23:13:45.103940
REV_MOCK_ORDER_91,MOCK_ORDER_91,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103941,2026-04-27 23:13:45.103941
REV_MOCK_ORDER_92,MOCK_ORDER_92,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.103942,2026-04-27 23:13:45.103943
REV_MOCK_ORDER_93,MOCK_ORDER_93,2,pessimo,pessimo,2026-04-27 23:13:45.103944,2026-04-27 23:13:45.103944
REV_MOCK_ORDER_94,MOCK_ORDER_94,4,recomendo,recomendo,2026-04-27 23:13:45.103946,2026-04-27 23:13:45.103946
REV_MOCK_ORDER_95,MOCK_ORDER_95,4,otimo,otimo,2026-04-27 23:13:45.103947,2026-04-27 23:13:45.103947
REV_MOCK_ORDER_96,MOCK_ORDER_96,3,,,2026-04-27 23:13:45.103948,2026-04-27 23:13:45.103949
REV_MOCK_ORDER_97,MOCK_ORDER_97,4,recomendo,recomendo,2026-04-27 23:13:45.103950,2026-04-27 23:13:45.103950
REV_MOCK_ORDER_98,MOCK_ORDER_98,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.103952,2026-04-27 23:13:45.103952
REV_MOCK_ORDER_99,MOCK_ORDER_99,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.103953,2026-04-27 23:13:45.103953
REV_MOCK_ORDER_100,MOCK_ORDER_100,4,recomendo,recomendo,2026-04-27 23:13:45.103955,2026-04-27 23:13:45.103955
REV_MOCK_ORDER_101,MOCK_ORDER_101,5,excelente produto,excelente produto,2026-04-27 23:13:45.103957,2026-04-27 23:13:45.103957
REV_MOCK_ORDER_102,MOCK_ORDER_102,4,recomendo,recomendo,2026-04-27 23:13:45.103958,2026-04-27 23:13:45.103958
REV_MOCK_ORDER_103,MOCK_ORDER_103,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103959,2026-04-27 23:13:45.103960
REV_MOCK_ORDER_104,MOCK_ORDER_104,1,pessimo,pessimo,2026-04-27 23:13:45.103961,2026-04-27 23:13:45.103961
REV_MOCK_ORDER_105,MOCK_ORDER_105,2,produto com defeito,produto com defeito,2026-04-27 23:13:45.103963,2026-04-27 23:13:45.103963
REV_MOCK_ORDER_106,MOCK_ORDER_106,2,pessimo,pessimo,2026-04-27 23:13:45.103964,2026-04-27 23:13:45.103964
REV_MOCK_ORDER_107,MOCK_ORDER_107,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103966,2026-04-27 23:13:45.103966
REV_MOCK_ORDER_108,MOCK_ORDER_108,5,excelente produto,excelente produto,2026-04-27 23:13:45.103967,2026-04-27 23:13:45.103967
REV_MOCK_ORDER_109,MOCK_ORDER_109,2,nao recebi,nao recebi,2026-04-27 23:13:45.103969,2026-04-27 23:13:45.103969
REV_MOCK_ORDER_110,MOCK_ORDER_110,4,otimo,otimo,2026-04-27 23:13:45.103970,2026-04-27 23:13:45.103970
REV_MOCK_ORDER_111,MOCK_ORDER_111,1,produto com defeito,produto com defeito,2026-04-27 23:13:45.103972,2026-04-27 23:13:45.103972
REV_MOCK_ORDER_112,MOCK_ORDER_112,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103973,2026-04-27 23:13:45.103973
REV_MOCK_ORDER_113,MOCK_ORDER_113,3,,,2026-04-27 23:13:45.103974,2026-04-27 23:13:45.103975
REV_MOCK_ORDER_114,MOCK_ORDER_114,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103976,2026-04-27 23:13:45.103976
REV_MOCK_ORDER_115,MOCK_ORDER_115,2,pessimo,pessimo,2026-04-27 23:13:45.103978,2026-04-27 23:13:45.103978
REV_MOCK_ORDER_116,MOCK_ORDER_116,1,nao recebi,nao recebi,2026-04-27 23:13:45.103979,2026-04-27 23:13:45.103979
REV_MOCK_ORDER_117,MOCK_ORDER_117,2,nao recebi,nao recebi,2026-04-27 23:13:45.103981,2026-04-27 23:13:45.103981
REV_MOCK_ORDER_118,MOCK_ORDER_118,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.103982,2026-04-27 23:13:45.103983
REV_MOCK_ORDER_119,MOCK_ORDER_119,5,otimo,otimo,2026-04-27 23:13:45.103984,2026-04-27 23:13:45.103984
REV_MOCK_ORDER_120,MOCK_ORDER_120,1,pessimo,pessimo,2026-04-27 23:13:45.103985,2026-04-27 23:13:45.103985
REV_MOCK_ORDER_121,MOCK_ORDER_121,2,nao recebi,nao recebi,2026-04-27 23:13:45.103987,2026-04-27 23:13:45.103987
REV_MOCK_ORDER_122,MOCK_ORDER_122,1,pessimo,pessimo,2026-04-27 23:13:45.103989,2026-04-27 23:13:45.103989
REV_MOCK_ORDER_123,MOCK_ORDER_123,3,,,2026-04-27 23:13:45.103990,2026-04-27 23:13:45.103990
REV_MOCK_ORDER_124,MOCK_ORDER_124,4,recomendo,recomendo,2026-04-27 23:13:45.103992,2026-04-27 23:13:45.103992
REV_MOCK_ORDER_125,MOCK_ORDER_125,3,,,2026-04-27 23:13:45.103993,2026-04-27 23:13:45.103993
REV_MOCK_ORDER_126,MOCK_ORDER_126,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.103994,2026-04-27 23:13:45.103994
REV_MOCK_ORDER_127,MOCK_ORDER_127,2,nao recebi,nao recebi,2026-04-27 23:13:45.103996,2026-04-27 23:13:45.103996
REV_MOCK_ORDER_128,MOCK_ORDER_128,3,,,2026-04-27 23:13:45.103997,2026-04-27 23:13:45.103997
REV_MOCK_ORDER_129,MOCK_ORDER_129,4,excelente produto,excelente produto,2026-04-27 23:13:45.103999,2026-04-27 23:13:45.103999
REV_MOCK_ORDER_130,MOCK_ORDER_130,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.104000,2026-04-27 23:13:45.104000
REV_MOCK_ORDER_131,MOCK_ORDER_131,2,pessimo,pessimo,2026-04-27 23:13:45.104002,2026-04-27 23:13:45.104002
REV_MOCK_ORDER_132,MOCK_ORDER_132,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.104003,2026-04-27 23:13:45.104004
REV_MOCK_ORDER_133,MOCK_ORDER_133,1,nao recebi,nao recebi,2026-04-27 23:13:45.104005,2026-04-27 23:13:45.104005
REV_MOCK_ORDER_134,MOCK_ORDER_134,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.104007,2026-04-27 23:13:45.104007
REV_MOCK_ORDER_135,MOCK_ORDER_135,3,,,2026-04-27 23:13:45.104008,2026-04-27 23:13:45.104008
REV_MOCK_ORDER_136,MOCK_ORDER_136,5,excelente produto,excelente produto,2026-04-27 23:13:45.104009,2026-04-27 23:13:45.104010
REV_MOCK_ORDER_137,MOCK_ORDER_137,5,recomendo,recomendo,2026-04-27 23:13:45.104011,2026-04-27 23:13:45.104011
REV_MOCK_ORDER_138,MOCK_ORDER_138,4,excelente produto,excelente produto,2026-04-27 23:13:45.104012,2026-04-27 23:13:45.104013
REV_MOCK_ORDER_139,MOCK_ORDER_139,4,otimo,otimo,2026-04-27 23:13:45.104014,2026-04-27 23:13:45.104014
REV_MOCK_ORDER_140,MOCK_ORDER_140,2,nao recebi,nao recebi,2026-04-27 23:13:45.104015,2026-04-27 23:13:45.104016
REV_MOCK_ORDER_141,MOCK_ORDER_141,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.104017,2026-04-27 23:13:45.104017
REV_MOCK_ORDER_142,MOCK_ORDER_142,1,nao recebi,nao recebi,2026-04-27 23:13:45.104018,2026-04-27 23:13:45.104019
REV_MOCK_ORDER_143,MOCK_ORDER_143,4,otimo,otimo,2026-04-27 23:13:45.104020,2026-04-27 23:13:45.104020
REV_MOCK_ORDER_144,MOCK_ORDER_144,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.104022,2026-04-27 23:13:45.104022
REV_MOCK_ORDER_145,MOCK_ORDER_145,3,,,2026-04-27 23:13:45.104023,2026-04-27 23:13:45.104023
REV_MOCK_ORDER_146,MOCK_ORDER_146,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.104025,2026-04-27 23:13:45.104025
REV_MOCK_ORDER_147,MOCK_ORDER_147,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.104026,2026-04-27 23:13:45.104027
REV_MOCK_ORDER_148,MOCK_ORDER_148,4,recomendo,recomendo,2026-04-27 23:13:45.104043,2026-04-27 23:13:45.104043
REV_MOCK_ORDER_149,MOCK_ORDER_149,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.104045,2026-04-27 23:13:45.104045
REV_MOCK_ORDER_150,MOCK_ORDER_150,1,nao recebi,nao recebi,2026-04-27 23:13:45.104046,2026-04-27 23:13:45.104047
REV_MOCK_ORDER_151,MOCK_ORDER_151,4,otimo,otimo,2026-04-27 23:13:45.104048,2026-04-27 23:13:45.104048
REV_MOCK_ORDER_152,MOCK_ORDER_152,4,otimo,otimo,2026-04-27 23:13:45.104049,2026-04-27 23:13:45.104049
REV_MOCK_ORDER_153,MOCK_ORDER_153,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.104051,2026-04-27 23:13:45.104051
REV_MOCK_ORDER_154,MOCK_ORDER_154,3,,,2026-04-27 23:13:45.104052,2026-04-27 23:13:45.104052
REV_MOCK_ORDER_155,MOCK_ORDER_155,2,produto com defeito,produto com defeito,2026-04-27 23:13:45.104053,2026-04-27 23:13:45.104053
REV_MOCK_ORDER_156,MOCK_ORDER_156,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.104054,2026-04-27 23:13:45.104055
REV_MOCK_ORDER_157,MOCK_ORDER_157,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.104056,2026-04-27 23:13:45.104056
REV_MOCK_ORDER_158,MOCK_ORDER_158,3,,,2026-04-27 23:13:45.104057,2026-04-27 23:13:45.104057
REV_MOCK_ORDER_159,MOCK_ORDER_159,4,recomendo,recomendo,2026-04-27 23:13:45.104058,2026-04-27 23:13:45.104059
REV_MOCK_ORDER_160,MOCK_ORDER_160,5,recomendo,recomendo,2026-04-27 23:13:45.104060,2026-04-27 23:13:45.104060
REV_MOCK_ORDER_161,MOCK_ORDER_161,3,,,2026-04-27 23:13:45.104061,2026-04-27 23:13:45.104061
REV_MOCK_ORDER_162,MOCK_ORDER_162,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.104062,2026-04-27 23:13:45.104063
REV_MOCK_ORDER_163,MOCK_ORDER_163,5,recomendo,recomendo,2026-04-27 23:13:45.104064,2026-04-27 23:13:45.104064
REV_MOCK_ORDER_164,MOCK_ORDER_164,1,pessimo,pessimo,2026-04-27 23:13:45.104065,2026-04-27 23:13:45.104065
REV_MOCK_ORDER_165,MOCK_ORDER_165,2,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.104067,2026-04-27 23:13:45.104067
REV_MOCK_ORDER_166,MOCK_ORDER_166,3,,,2026-04-27 23:13:45.104068,2026-04-27 23:13:45.104068
REV_MOCK_ORDER_167,MOCK_ORDER_167,5,excelente produto,excelente produto,2026-04-27 23:13:45.104069,2026-04-27 23:13:45.104069
REV_MOCK_ORDER_168,MOCK_ORDER_168,1,nao recebi,nao recebi,2026-04-27 23:13:45.104070,2026-04-27 23:13:45.104071
REV_MOCK_ORDER_169,MOCK_ORDER_169,3,,,2026-04-27 23:13:45.104072,2026-04-27 23:13:45.104072
REV_MOCK_ORDER_170,MOCK_ORDER_170,3,,,2026-04-27 23:13:45.104073,2026-04-27 23:13:45.104073
REV_MOCK_ORDER_171,MOCK_ORDER_171,4,otimo,otimo,2026-04-27 23:13:45.104074,2026-04-27 23:13:45.104074
REV_MOCK_ORDER_172,MOCK_ORDER_172,2,pessimo,pessimo,2026-04-27 23:13:45.104076,2026-04-27 23:13:45.104076
REV_MOCK_ORDER_173,MOCK_ORDER_173,3,,,2026-04-27 23:13:45.104077,2026-04-27 23:13:45.104077
REV_MOCK_ORDER_174,MOCK_ORDER_174,3,,,2026-04-27 23:13:45.104078,2026-04-27 23:13:45.104078
REV_MOCK_ORDER_175,MOCK_ORDER_175,5,excelente produto,excelente produto,2026-04-27 23:13:45.104080,2026-04-27 23:13:45.104080
REV_MOCK_ORDER_176,MOCK_ORDER_176,5,otimo,otimo,2026-04-27 23:13:45.104081,2026-04-27 23:13:45.104081
REV_MOCK_ORDER_177,MOCK_ORDER_177,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.104082,2026-04-27 23:13:45.104083
REV_MOCK_ORDER_178,MOCK_ORDER_178,5,excelente produto,excelente produto,2026-04-27 23:13:45.104084,2026-04-27 23:13:45.104084
REV_MOCK_ORDER_179,MOCK_ORDER_179,3,,,2026-04-27 23:13:45.104085,2026-04-27 23:13:45.104085
REV_MOCK_ORDER_180,MOCK_ORDER_180,1,atraso na entrega,atraso na entrega,2026-04-27 23:13:45.104086,2026-04-27 23:13:45.104087
REV_MOCK_ORDER_181,MOCK_ORDER_181,3,,,2026-04-27 23:13:45.104088,2026-04-27 23:13:45.104088
REV_MOCK_ORDER_182,MOCK_ORDER_182,3,,,2026-04-27 23:13:45.104089,2026-04-27 23:13:45.104089
REV_MOCK_ORDER_183,MOCK_ORDER_183,3,,,2026-04-27 23:13:45.104090,2026-04-27 23:13:45.104090
REV_MOCK_ORDER_184,MOCK_ORDER_184,4,entrega rapida,entrega rapida,2026-04-27 23:13:45.104091,2026-04-27 23:13:45.104092
REV_MOCK_ORDER_185,MOCK_ORDER_185,4,recomendo,recomendo,2026-04-27 23:13:45.104093,2026-04-27 23:13:45.104093
REV_MOCK_ORDER_186,MOCK_ORDER_186,4,excelente produto,excelente produto,2026-04-27 23:13:45.104094,2026-04-27 23:13:45.104095
REV_MOCK_ORDER_187,MOCK_ORDER_187,5,entrega rapida,entrega rapida,2026-04-27 23:13:45.104096,2026-04-27 23:13:45.104096
REV_MOCK_ORDER_188,MOCK_ORDER_188,5,recomendo,recomendo,2026-04-27 23:13:45.104097,2026-04-27 23:13:45.104097
REV_MOCK_ORDER_189,MOCK_ORDER_189,3,,,2026-04-27 23:13:45.104098,2026-04-27 23:13:45.104099
REV_MOCK_ORDER_190,MOCK_ORDER_190,4,recomendo,recomendo,2026-04-27 23:13:45.104100,2026-04-27 23:13:45.104100
REV_MOCK_ORDER_191,MOCK_ORDER_191,1,nao recebi,nao recebi,2026-04-27 23:13:45.104101,2026-04-27 23:13:45.104101
REV_MOCK_ORDER_192,MOCK_ORDER_192,2,produto com defeito,produto com defeito,2026-04-27 23:13:45.104102,2026-04-27 23:13:45.104103
REV_MOCK_ORDER_193,MOCK_ORDER_193,4,otimo,otimo,2026-04-27 23:13:45.104104,2026-04-27 23:13:45.104104
REV_MOCK_ORDER_194,MOCK_ORDER_194,1,pessimo,pessimo,2026-04-27 23:13:45.104105,2026-04-27 23:13:45.104105
